file,folder,n_samples,max_abs_slip_ratio,max_abs_slip_angle_deg,normal_load_min_N,normal_load_max_N,is_free_rolling,has_combined_coverage
A1654run21.mat,C:\Users\johny\OneDrive\Documents\VD\vd\.worktrees\adaptive-doe\Magic Formula\TTC Documentation\Round 6 (18 in Hoosiers)\RunData_10inch_Cornering_Matlab_USCS,61357,0,13.385,172.324105375192,1197.41677661197,1,0
A1654run22.mat,C:\Users\johny\OneDrive\Documents\VD\vd\.worktrees\adaptive-doe\Magic Formula\TTC Documentation\Round 6 (18 in Hoosiers)\RunData_10inch_Cornering_Matlab_USCS,53703,0,13.461,170.544816729088,1226.15228824656,1,0
A1654run23.mat,C:\Users\johny\OneDrive\Documents\VD\vd\.worktrees\adaptive-doe\Magic Formula\TTC Documentation\Round 6 (18 in Hoosiers)\RunData_10inch_Cornering_Matlab_USCS,59952,0,5.96,0.62275102613647,1218.3234182037,1,0
A1654run24.mat,C:\Users\johny\OneDrive\Documents\VD\vd\.worktrees\adaptive-doe\Magic Formula\TTC Documentation\Round 6 (18 in Hoosiers)\RunData_10inch_Cornering_Matlab_USCS,61350,0,13.354,158.623582800189,1180.82490998705,1,0
A1654run25.mat,C:\Users\johny\OneDrive\Documents\VD\vd\.worktrees\adaptive-doe\Magic Formula\TTC Documentation\Round 6 (18 in Hoosiers)\RunData_10inch_Cornering_Matlab_USCS,53691,0,13.381,149.371281840448,1198.12849207042,1,0
A1654run26.mat,C:\Users\johny\OneDrive\Documents\VD\vd\.worktrees\adaptive-doe\Magic Formula\TTC Documentation\Round 6 (18 in Hoosiers)\RunData_10inch_Cornering_Matlab_USCS,60101,0,5.958,23.9314322901015,1235.4045892063,1,0
A1654run27.mat,C:\Users\johny\OneDrive\Documents\VD\vd\.worktrees\adaptive-doe\Magic Formula\TTC Documentation\Round 6 (18 in Hoosiers)\RunData_10inch_Cornering_Matlab_USCS,33229,0,13.395,166.541417275353,1165.03372325288,1,0
A1654run28.mat,C:\Users\johny\OneDrive\Documents\VD\vd\.worktrees\adaptive-doe\Magic Formula\TTC Documentation\Round 6 (18 in Hoosiers)\RunData_10inch_Cornering_Matlab_USCS,60042,0,5.922,1.02309097150992,1225.84091273349,1,0
A1654run29.mat,C:\Users\johny\OneDrive\Documents\VD\vd\.worktrees\adaptive-doe\Magic Formula\TTC Documentation\Round 6 (18 in Hoosiers)\RunData_10inch_Cornering_Matlab_USCS,33238,0,13.495,170.856192242156,1208.44836621782,1,0
A1654run30.mat,C:\Users\johny\OneDrive\Documents\VD\vd\.worktrees\adaptive-doe\Magic Formula\TTC Documentation\Round 6 (18 in Hoosiers)\RunData_10inch_Cornering_Matlab_USCS,60065,0,5.925,6.09406361290688,1250.88440042741,1,0
A1654run31.mat,C:\Users\johny\OneDrive\Documents\VD\vd\.worktrees\adaptive-doe\Magic Formula\TTC Documentation\Round 6 (18 in Hoosiers)\RunData_10inch_Cornering_Matlab_USCS,33229,0,13.532,158.8015116648,1266.54214051312,1,0
A1654run32.mat,C:\Users\johny\OneDrive\Documents\VD\vd\.worktrees\adaptive-doe\Magic Formula\TTC Documentation\Round 6 (18 in Hoosiers)\RunData_10inch_Cornering_Matlab_USCS,60087,0,5.925,0.934126539204705,1248.57132518747,1,0
A1654run33.mat,C:\Users\johny\OneDrive\Documents\VD\vd\.worktrees\adaptive-doe\Magic Formula\TTC Documentation\Round 6 (18 in Hoosiers)\RunData_10inch_Cornering_Matlab_USCS,33232,0,13.541,159.602191555547,1212.49624788771,1,0
A1654run34.mat,C:\Users\johny\OneDrive\Documents\VD\vd\.worktrees\adaptive-doe\Magic Formula\TTC Documentation\Round 6 (18 in Hoosiers)\RunData_10inch_DriveBrake_Matlab_USCS,20993,0,13.074,130.644268840201,1623.73433621854,1,0
A1654run37.mat,C:\Users\johny\OneDrive\Documents\VD\vd\.worktrees\adaptive-doe\Magic Formula\TTC Documentation\Round 6 (18 in Hoosiers)\RunData_10inch_DriveBrake_Matlab_USCS,21036,0,13.031,146.791313303596,1615.90546617568,1,0
A1654run40.mat,C:\Users\johny\OneDrive\Documents\VD\vd\.worktrees\adaptive-doe\Magic Formula\TTC Documentation\Round 6 (18 in Hoosiers)\RunData_10inch_DriveBrake_Matlab_USCS,21065,0,13.074,103.64356363557,1667.10449696733,1,0
A1654run42.mat,C:\Users\johny\OneDrive\Documents\VD\vd\.worktrees\adaptive-doe\Magic Formula\TTC Documentation\Round 6 (18 in Hoosiers)\RunData_10inch_DriveBrake_Matlab_USCS,21138,0,13.066,125.795707279567,1607.00902294516,1,0
A1654run44.mat,C:\Users\johny\OneDrive\Documents\VD\vd\.worktrees\adaptive-doe\Magic Formula\TTC Documentation\Round 6 (18 in Hoosiers)\RunData_10inch_DriveBrake_Matlab_USCS,21135,0,13.072,166.185559546132,1716.9690612744,1,0
A1654run46.mat,C:\Users\johny\OneDrive\Documents\VD\vd\.worktrees\adaptive-doe\Magic Formula\TTC Documentation\Round 6 (18 in Hoosiers)\RunData_10inch_DriveBrake_Matlab_USCS,21018,0,13.074,134.469739429325,1602.38287246529,1,0
