FileName,PeakCamberPerSABand_1,PeakCamberPerSABand_2,PeakCamberPerSABand_3,PeakCamberPerSABand_4,PeakCamberPerSABand_5,PeakCamberPerSABand_6,PeakCamberPerSABand_7,PeakCamberPerSABand_8
A1965raw1.mat,NaN,1.81987453715715,4.68876936255631,-0.0128599411328939,NaN,0.00182925001884308,-0.102714601916873,1.06386656610504
A1965raw10.mat,0.706661272100894,3.61179752636409,-2.81400621279653,1.30811355089113,-1.69353233142814,-0.268112854246419,0.276664085210177,1.86773616714435
A1965raw11.mat,NaN,1.77718620243602,6.8185568438173,-0.0371713867700874,NaN,0.0048967367365883,-0.169670732490259,1.19695035999653
A1965raw12.mat,2.0126416825869,1.27252032175486,4.46503266798989,1.08445488139015,-1.92340864155527,-0.285273833278282,-0.0224102889681482,1.99713692716839
A1965raw13.mat,0.574460161098226,3.28992108807773,-6.36414883885816,1.69027869905262,-1.82398691243702,-0.294753751585343,0.362408559777495,1.99322125946422
A1965raw14.mat,NaN,1.92052548813176,-32.1613980391747,-0.0106290614480091,NaN,-0.0540947052930151,1.0062904739506,0.975388984417876
A1965raw15.mat,2.34897257326853,1.16125724090393,4.02527814133938,0.725151863517848,-1.92203873760455,-0.248752994633059,0.000374679529858923,1.89427875901979
A1965raw16.mat,0.6836074406461,3.12726759024816,-7.49649037612203,1.14540614757259,-1.76059768409456,-0.294901049882032,0.352829607710113,1.8425252014144
A1965raw17.mat,NaN,1.86554353532929,6.54423879802923,-0.0115653664768557,NaN,0.0573974237385805,-0.0997959824302029,1.04390000397806
A1965raw18.mat,1.74994680628932,1.37048845665259,2.98659608911253,0.864201750838377,-1.81978534572721,-0.227191924854033,0.0126269473821152,1.92876618657559
A1965raw19.mat,0.831076807014993,3.39273671183319,-5.90461847337886,1.28654232709273,-1.71774382342952,-0.269635963245166,0.311251028645691,1.90967372088495
A1965raw2.mat,1.77617693274713,0.925843484031108,4.18102200608277,0.971499023079298,-1.9852571214562,-0.28328100527903,-0.0216752102193841,2.02688833611148
A1965raw20.mat,NaN,1.82771692806502,3.64269088596374,-0.0157774930220371,NaN,0.0418400566206154,-0.0747038245738849,1.16806420852661
A1965raw21.mat,2.47741724937599,0.797348657078181,4.1875197381069,1.09618141068133,-1.81551792319274,-0.233323397821743,-0.0143594234951067,1.85188681903827
A1965raw22.mat,1.48731347419143,3.65861064022235,-3.7646354256183,1.32497823705788,-1.73027588136815,-0.316434206262201,0.287114979840944,1.92507922781782
A1965raw23.mat,NaN,1.9566522215837,25.5472535984019,0.00662685286452858,NaN,0.0574728449435828,-0.71153396893193,1.00716219172193
A1965raw24.mat,2.73330622199169,0.883441668368539,4.01150368017445,1.11179533851912,-1.90082832338947,-0.237651482789538,-0.00715173096495281,1.94565140127292
A1965raw25.mat,1.09845620530843,3.6191968184411,-5.63995487432815,1.61251979185453,-1.80894989622235,-0.303823411427378,0.336284690462763,1.99451961567919
A1965raw4.mat,0.614111153896854,3.25635997044248,-6.60235217866864,1.34520185469971,-1.89997608689588,-0.325671276439942,0.346037672239981,2.04872564246312
A1965raw5.mat,NaN,2.02356462425303,1.10693600117886,0.0510801306252959,NaN,0.0128705787248534,0.225310483268578,0.945147572687751
A1965raw6.mat,1.63356800334878,0.895529438012438,4.41625543901836,0.839920429086397,-2.06931176992269,-0.294233607904229,-0.0377962009942334,2.08474235450099
A1965raw7.mat,0.581011444041448,3.12835533240458,-13.4506238665854,1.43665566110231,-1.95016666644868,-0.3265203799362,0.567788917301007,2.08631581714313
A1965raw8.mat,NaN,1.88272816490611,2.98528234586963,0.0426637008747278,NaN,-1.05624233982067,-0.0798655812210531,1.00314476834903
A1965raw9.mat,2.24952262281427,0.462838051496672,4.29132129591894,1.05346345493669,-1.80407354158273,-0.215356910457414,-0.0061886634081938,1.88185762973647
